created_at;comment_id;user_id
9 Январь, 2024, 08:47;41 022;dc161948-7db3-8b73-9f7b-e21e5e391f1e
9 Январь, 2024, 08:47;40 958;dc161948-7db3-8b73-9f7b-e21e5e391f1e
9 Январь, 2024, 08:47;41 010;dc161948-7db3-8b73-9f7b-e21e5e391f1e
9 Январь, 2024, 09:29;41 021;880c8b46-f8c1-fec9-c69e-449e399c1978
9 Январь, 2024, 11:11;41 032;0f503f3d-23cf-a402-a482-8defdc1939eb
9 Январь, 2024, 16:04;41 039;70344ca5-68e6-fc38-c331-c76007f1865c
9 Январь, 2024, 17:18;41 039;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
9 Январь, 2024, 17:18;41 021;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
9 Январь, 2024, 17:47;41 024;cbc255c7-4042-76dc-a0e7-957905e28e15
9 Январь, 2024, 18:06;41 035;d8005a31-1681-eb1c-63dd-f4d4adc6bf5b
9 Январь, 2024, 18:12;41 044;87583219-9460-99db-f60e-aa6757aaf641
9 Январь, 2024, 20:03;41 048;f9a77bce-7427-442c-9db1-f2bc1960ba1b
9 Январь, 2024, 20:25;41 048;c6f87876-03fe-2bba-978f-f900a098ca44
9 Январь, 2024, 20:26;41 039;c6f87876-03fe-2bba-978f-f900a098ca44
9 Январь, 2024, 21:31;41 053;c6f87876-03fe-2bba-978f-f900a098ca44
9 Январь, 2024, 22:32;41 051;f9a77bce-7427-442c-9db1-f2bc1960ba1b
9 Январь, 2024, 22:35;41 040;d068ddf5-e178-40af-94e8-45462a1781c3
9 Январь, 2024, 22:51;41 052;63e44bda-1098-3ae9-c69e-e5220ace30f0
9 Январь, 2024, 22:54;41 052;414db77b-6069-16d7-6235-9d4100401508
9 Январь, 2024, 23:25;41 040;a5dd2f0b-4354-8f02-fd13-d845da01bd5f
9 Январь, 2024, 23:26;41 012;a5dd2f0b-4354-8f02-fd13-d845da01bd5f
10 Январь, 2024, 00:23;41 055;8be4a338-3f0d-ac67-5226-22006229de2b
10 Январь, 2024, 00:23;41 052;8be4a338-3f0d-ac67-5226-22006229de2b
10 Январь, 2024, 00:50;41 051;cd2c6f17-25e9-c8e4-bb0e-60accadd027a
